Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
39,Yes,Travel_Rarely,345,Sales,29,3,Technical Degree,1,331,3,Male,85,2,1,Sales Representative,3,Divorced,2106,25888,3,Y,Yes,16,3,3,80,0,15,1,2,2,2,2,1
26,No,Travel_Rarely,134,Sales,7,4,Other,1,332,4,Male,56,3,2,Sales Executive,1,Married,5769,4852,4,Y,No,14,3,2,80,3,2,3,3,2,0,0,1
39,No,Non-Travel,844,Research & Development,28,4,Technical Degree,1,333,1,Male,88,3,2,Manager,3,Divorced,6626,12691,4,Y,No,13,3,4,80,0,15,5,3,0,0,0,0
27,No,Travel_Rarely,915,Research & Development,19,2,Technical Degree,1,334,3,Male,76,3,2,Manufacturing Director,4,Divorced,5320,10209,3,Y,No,14,3,3,80,0,5,6,1,4,1,1,3
39,No,Travel_Rarely,905,Research & Development,1,1,Medical,1,335,3,Male,43,3,3,Healthcare Representative,4,Divorced,9305,17120,1,Y,No,16,3,4,80,1,18,5,2,0,0,0,0
29,No,Travel_Rarely,136,Research & Development,20,3,Medical,1,336,4,Male,93,2,3,Manager,4,Married,8478,15004,3,Y,No,14,3,2,80,1,6,1,3,0,0,0,0
38,No,Non-Travel,868,Sales,6,4,Life Sciences,1,337,4,Female,30,3,4,Sales Executive,3,Married,13795,3090,2,Y,No,16,3,4,80,1,16,0,3,1,0,0,0
20,No,Travel_Rarely,685,Sales,9,3,Marketing,1,338,4,Female,41,3,3,Sales Representative,2,Single,9210,5929,1,Y,No,13,4,2,80,0,0,4,3,0,0,0,0
41,No,Travel_Rarely,1156,Research & Development,29,4,Technical Degree,1,339,4,Male,45,2,4,Manager,3,Single,12828,26435,4,Y,No,14,3,3,80,1,19,2,3,0,0,0,0
52,No,Travel_Rarely,1492,Research & Development,1,3,Technical Degree,1,340,1,Male,95,2,4,Research Scientist,2,Single,17795,2200,1,Y,Yes,18,3,1,80,0,27,3,2,10,0,6,3
33,Yes,Travel_Rarely,643,Sales,6,3,Medical,1,341,2,Male,88,4,2,Sales Representative,4,Married,2868,7557,1,Y,No,14,3,4,80,2,13,0,3,6,5,1,2
37,No,Travel_Rarely,806,Research & Development,1,3,Life Sciences,1,342,3,Female,94,4,3,Manager,3,Married,10446,17736,1,Y,No,11,3,4,80,2,15,1,4,9,1,3,6
48,No,Travel_Rarely,1043,Research & Development,21,2,Medical,1,343,2,Male,53,3,3,Manufacturing Director,4,Single,10113,6322,2,Y,Yes,13,3,3,80,1,27,1,4,4,2,2,2
28,No,Travel_Frequently,1295,Human Resources,3,3,Life Sciences,1,344,2,Male,84,3,2,Manager,3,Married,4529,3704,3,Y,No,11,3,3,80,1,9,2,3,4,1,1,4
24,Yes,Travel_Rarely,893,Research & Development,1,2,Life Sciences,1,345,4,Male,77,3,2,Healthcare Representative,2,Married,6140,10537,2,Y,Yes,18,3,2,80,1,1,2,3,1,0,1,0
24,No,Travel_Rarely,130,Research & Development,18,2,Other,1,346,2,Male,80,3,2,Laboratory Technician,1,Married,5531,2979,2,Y,No,16,3,3,80,2,3,2,3,3,3,0,1
41,Yes,Travel_Rarely,344,Research & Development,2,3,Life Sciences,1,347,3,Male,34,2,2,Research Director,4,Married,5635,10321,2,Y,Yes,13,3,4,80,0,16,0,2,1,1,0,0
40,No,Travel_Rarely,586,Sales,14,3,Technical Degree,1,348,4,Male,84,3,3,Sales Representative,2,Divorced,8940,8630,3,Y,Yes,16,3,3,80,1,18,6,4,1,0,1,0
43,No,Travel_Rarely,724,Research & Development,10,3,Other,1,349,2,Male,33,4,1,Manufacturing Director,3,Single,2223,9574,2,Y,No,11,3,3,80,0,19,4,3,3,1,3,1
27,No,Travel_Rarely,1062,Sales,8,3,Other,1,350,4,Female,52,2,3,Sales Executive,1,Married,9309,7043,1,Y,Yes,15,3,4,80,0,5,3,3,5,1,0,1
22,No,Travel_Rarely,1340,Human Resources,2,1,Human Resources,1,351,2,Female,80,3,1,Manager,3,Single,2911,5363,3,Y,Yes,14,3,4,80,1,1,2,2,1,1,0,0
59,No,Travel_Rarely,288,Research & Development,5,4,Technical Degree,1,352,3,Female,44,2,5,Manufacturing Director,3,Divorced,15476,21188,0,Y,Yes,17,4,1,80,1,37,1,4,1,0,1,0
33,No,Travel_Rarely,288,Research & Development,4,3,Technical Degree,1,353,4,Male,64,3,1,Research Scientist,4,Married,2634,20691,4,Y,No,14,3,3,80,1,12,2,3,0,0,0,0
50,No,Travel_Rarely,1459,Research & Development,9,3,Other,1,354,3,Female,55,3,4,Manufacturing Director,4,Married,18507,11909,5,Y,No,14,4,2,80,1,30,3,4,1,0,1,0
39,No,Travel_Frequently,984,Research & Development,5,1,Medical,1,355,2,Male,35,3,3,Research Director,3,Single,7520,25675,4,Y,No,16,3,2,80,0,18,4,1,1,0,0,1
32,Yes,Travel_Rarely,361,Sales,3,4,Other,1,356,2,Female,93,2,3,Sales Representative,3,Single,9548,22712,2,Y,No,14,3,4,80,0,11,4,2,0,0,0,0
36,No,Travel_Rarely,1175,Research & Development,11,2,Medical,1,357,4,Female,86,2,4,Research Scientist,2,Single,16655,23993,2,Y,No,17,3,3,80,1,14,2,3,13,5,1,11
49,No,Travel_Rarely,114,Human Resources,2,2,Life Sciences,1,358,3,Female,51,2,3,Manager,3,Single,8834,6437,2,Y,No,14,3,4,80,0,26,3,4,4,1,0,2
36,Yes,Travel_Frequently,1389,Human Resources,14,2,Other,1,359,2,Male,85,3,3,Human Resources,3,Single,8834,7093,3,Y,Yes,13,4,3,80,0,13,4,3,2,1,0,0
27,No,Travel_Rarely,155,Research & Development,12,4,Other,1,360,3,Male,31,3,2,Manufacturing Director,3,Married,5064,13055,1,Y,No,21,3,1,80,1,2,2,3,1,1,1,1
30,Yes,Non-Travel,976,Sales,1,1,Medical,1,361,4,Male,59,2,3,Sales Executive,2,Married,10395,26121,3,Y,Yes,19,3,4,80,0,6,3,3,6,0,2,0
52,No,Travel_Rarely,863,Research & Development,6,4,Medical,1,362,3,Male,83,2,2,Research Scientist,1,Married,3849,24400,0,Y,Yes,13,3,1,80,3,30,1,2,7,1,1,2
36,Yes,Travel_Frequently,1206,Sales,1,1,Medical,1,363,3,Male,94,3,3,Sales Executive,2,Married,8214,11766,3,Y,Yes,12,3,1,80,0,18,2,1,4,2,4,4
50,No,Travel_Rarely,367,Research & Development,5,2,Medical,1,364,2,Male,53,2,3,Laboratory Technician,4,Single,7497,4033,3,Y,No,20,4,3,80,3,28,6,2,1,1,0,1
33,No,Travel_Rarely,737,Sales,12,5,Other,1,365,1,Male,82,3,2,Manager,4,Married,4636,9107,8,Y,No,16,3,2,80,2,9,3,3,0,0,0,0
37,No,Travel_Rarely,261,Research & Development,3,3,Technical Degree,1,366,2,Female,75,2,2,Research Director,1,Married,6060,9067,3,Y,No,18,3,3,80,1,17,4,4,0,0,0,0
47,Yes,Travel_Rarely,1422,Research & Development,3,3,Technical Degree,1,367,4,Female,30,3,4,Research Scientist,2,Married,12774,10787,3,Y,Yes,14,3,4,80,1,26,2,1,0,0,0,0
48,No,Travel_Rarely,432,Research & Development,2,2,Technical Degree,1,368,3,Male,54,4,4,Manager,4,Single,14392,8483,1,Y,No,21,4,3,80,1,26,3,4,1,0,1,0
53,No,Travel_Rarely,1335,Research & Development,11,3,Medical,1,369,2,Male,62,2,5,Manager,4,Single,19253,7296,2,Y,No,14,3,1,80,1,30,4,4,14,13,0,1
30,Yes,Travel_Rarely,809,Sales,11,4,Medical,1,370,2,Female,67,3,1,Manager,3,Single,3339,20589,2,Y,No,12,3,4,80,0,10,5,1,1,0,1,0
37,No,Travel_Frequently,1113,Research & Development,9,4,Technical Degree,1,371,4,Male,31,1,3,Laboratory Technician,3,Married,10085,19287,5,Y,Yes,13,4,3,80,1,20,4,4,13,9,0,5
34,No,Travel_Rarely,233,Research & Development,1,3,Other,1,372,1,Male,59,3,1,Research Scientist,4,Single,2372,26582,3,Y,No,16,3,2,80,0,9,6,2,1,1,1,1
37,No,Non-Travel,1204,Research & Development,1,4,Medical,1,373,3,Male,67,3,5,Research Scientist,4,Married,16202,2817,3,Y,Yes,15,3,1,80,0,14,5,3,0,0,0,0
34,No,Travel_Rarely,305,Research & Development,8,3,Technical Degree,1,374,4,Female,88,1,3,Healthcare Representative,2,Married,7329,10778,4,Y,No,16,3,4,80,3,8,2,3,2,2,1,1
34,No,Non-Travel,677,Research & Development,29,2,Medical,1,375,3,Female,35,3,3,Manager,1,Married,8075,12186,3,Y,No,20,4,4,80,0,12,4,3,0,0,0,0
32,No,Travel_Rarely,1417,Research & Development,5,4,Medical,1,376,2,Male,91,2,1,Manufacturing Director,3,Single,3517,7290,4,Y,No,11,4,2,80,0,9,2,3,3,1,1,1
30,Yes,Travel_Frequently,1023,Research & Development,2,3,Other,1,377,1,Female,32,3,2,Manager,3,Married,8277,20062,4,Y,No,11,3,4,80,1,7,4,3,0,0,0,0
30,No,Non-Travel,481,Research & Development,29,3,Life Sciences,1,378,2,Female,83,3,5,Laboratory Technician,2,Divorced,17323,23336,6,Y,No,17,3,1,80,1,7,4,4,7,5,1,5
31,No,Travel_Rarely,1201,Research & Development,6,4,Other,1,379,1,Male,53,3,1,Manager,3,Married,3115,24041,3,Y,No,16,3,3,80,1,11,6,3,4,4,1,1
42,No,Travel_Frequently,1204,Research & Development,5,1,Medical,1,380,1,Male,41,3,2,Laboratory Technician,3,Married,4646,10697,3,Y,No,11,3,4,80,3,20,1,3,7,7,0,6
20,No,Travel_Rarely,959,Sales,21,4,Medical,1,381,3,Male,36,3,2,Manager,1,Married,4690,10924,4,Y,Yes,17,3,3,80,1,0,2,3,0,0,0,0
29,No,Travel_Frequently,155,Sales,11,3,Life Sciences,1,382,4,Female,69,3,2,Sales Representative,3,Single,6064,12016,2,Y,No,11,3,2,80,3,4,6,3,4,2,1,3
36,No,Travel_Rarely,423,Sales,1,3,Other,1,383,4,Male,32,3,3,Manager,2,Divorced,9029,17492,1,Y,No,19,3,3,80,1,16,5,4,0,0,0,0
51,No,Non-Travel,1006,Research & Development,10,3,Technical Degree,1,384,3,Male,47,2,2,Research Director,2,Married,5506,11927,1,Y,No,13,4,2,80,0,30,5,2,5,5,0,1
20,No,Travel_Frequently,149,Research & Development,7,1,Technical Degree,1,385,3,Male,87,2,1,Healthcare Representative,1,Married,2900,7081,1,Y,No,15,3,1,80,0,0,4,2,0,0,0,0
36,No,Travel_Frequently,610,Research & Development,7,3,Medical,1,386,1,Male,81,3,2,Healthcare Representative,4,Married,5457,14869,3,Y,No,15,3,4,80,0,13,1,3,6,6,5,3
36,No,Travel_Rarely,928,Sales,6,2,Other,1,387,3,Female,80,2,2,Sales Executive,3,Married,4585,24235,3,Y,Yes,11,3,4,80,0,16,3,3,9,6,0,5
32,Yes,Travel_Rarely,865,Human Resources,7,3,Human Resources,1,388,4,Female,99,2,1,Human Resources,3,Divorced,2102,16191,4,Y,No,17,3,4,80,2,10,5,2,0,0,0,0
52,No,Travel_Rarely,114,Sales,18,2,Medical,1,389,1,Female,43,3,2,Sales Representative,3,Married,6208,19260,3,Y,No,18,3,2,80,0,27,2,3,0,0,0,0
29,No,Travel_Rarely,764,Research & Development,2,2,Life Sciences,1,390,3,Male,94,3,2,Research Scientist,1,Married,6187,7361,2,Y,Yes,15,3,2,80,3,7,2,3,4,0,1,2
18,Yes,Non-Travel,348,Research & Development,4,4,Medical,1,391,1,Male,58,1,1,Manufacturing Director,4,Single,2635,4874,4,Y,Yes,16,3,4,80,0,0,5,2,0,0,0,0
25,Yes,Travel_Rarely,1053,Research & Development,4,3,Medical,1,392,1,Male,52,3,3,Research Director,2,Married,9214,20370,3,Y,Yes,18,3,2,80,1,2,5,2,2,0,1,2
39,No,Travel_Frequently,948,Research & Development,12,4,Technical Degree,1,393,2,Male,36,2,1,Research Scientist,2,Married,1811,2332,3,Y,No,13,3,4,80,0,18,2,3,0,0,0,0
18,No,Travel_Rarely,1376,Research & Development,3,5,Other,1,394,3,Male,79,3,3,Healthcare Representative,4,Married,10618,12623,1,Y,Yes,15,3,2,80,1,0,5,2,0,0,0,0
43,No,Travel_Rarely,626,Research & Development,3,2,Medical,1,395,3,Male,57,3,2,Manager,4,Married,5997,15533,5,Y,No,14,3,1,80,0,17,2,3,0,0,0,0
40,No,Travel_Rarely,172,Research & Development,11,3,Life Sciences,1,396,3,Female,92,1,2,Research Director,2,Single,5859,7748,1,Y,No,14,3,4,80,1,19,5,3,4,3,0,4
29,No,Non-Travel,846,Sales,6,2,Life Sciences,1,397,4,Male,63,3,3,Sales Representative,4,Married,8868,18873,3,Y,No,11,4,4,80,0,11,4,3,4,4,3,1
40,No,Travel_Rarely,1199,Research & Development,6,2,Other,1,398,2,Male,64,3,5,Manager,1,Single,16735,7485,3,Y,No,15,3,1,80,0,15,2,3,0,0,0,0
31,No,Travel_Rarely,724,Research & Development,7,5,Other,1,399,4,Male,34,2,2,Healthcare Representative,3,Divorced,6658,21958,2,Y,Yes,11,3,3,80,0,10,3,3,0,0,0,0
24,Yes,Travel_Rarely,178,Research & Development,18,3,Other,1,400,3,Female,84,3,1,Healthcare Representative,3,Divorced,3156,17378,3,Y,Yes,19,3,4,80,0,3,4,3,0,0,0,0
42,No,Travel_Frequently,509,Research & Development,11,3,Technical Degree,1,401,1,Female,84,3,3,Research Scientist,3,Married,6421,24358,3,Y,No,17,3,1,80,1,19,4,2,6,3,0,0
21,Yes,Travel_Frequently,133,Research & Development,10,3,Other,1,402,3,Male,86,3,1,Manager,4,Single,2158,14325,6,Y,Yes,15,3,4,80,0,0,2,2,0,0,0,0
25,No,Travel_Rarely,146,Research & Development,2,2,Other,1,403,3,Female,75,3,2,Research Scientist,3,Married,4356,17292,3,Y,No,17,3,2,80,1,2,4,3,2,1,0,0
19,Yes,Travel_Frequently,1326,Research & Development,10,3,Technical Degree,1,404,4,Female,91,2,1,Research Director,2,Divorced,3297,4796,1,Y,No,16,3,4,80,0,0,1,3,0,0,0,0
30,No,Travel_Rarely,522,Sales,4,5,Life Sciences,1,405,4,Male,37,2,3,Manager,4,Married,7495,14294,0,Y,No,20,3,3,80,2,5,1,4,2,2,2,1
43,Yes,Travel_Rarely,843,Sales,2,4,Medical,1,406,3,Female,35,1,3,Manager,3,Divorced,9323,9198,2,Y,No,13,3,4,80,0,19,1,1,3,3,2,2
49,No,Travel_Rarely,651,Research & Development,11,1,Life Sciences,1,407,1,Female,45,3,2,Research Director,3,Married,6870,20999,3,Y,No,17,3,2,80,0,26,5,3,7,7,0,4
41,No,Travel_Rarely,451,Research & Development,1,3,Technical Degree,1,408,2,Male,55,4,1,Healthcare Representative,2,Single,3274,4502,2,Y,Yes,20,3,4,80,0,23,3,3,1,1,1,1
27,No,Travel_Rarely,916,Sales,13,2,Medical,1,409,2,Female,81,3,3,Manager,1,Married,7682,10670,3,Y,No,16,3,3,80,1,3,3,2,3,3,2,2
35,No,Travel_Rarely,792,Research & Development,2,1,Life Sciences,1,410,4,Male,58,3,1,Research Scientist,4,Married,4070,8377,4,Y,No,15,3,1,80,0,15,2,3,2,0,0,0
37,No,Travel_Rarely,817,Research & Development,11,2,Life Sciences,1,411,1,Male,95,2,2,Research Scientist,4,Single,4197,3024,3,Y,No,12,3,2,80,0,17,1,2,3,3,1,1
23,Yes,Travel_Frequently,1330,Research & Development,12,4,Technical Degree,1,412,3,Female,40,3,1,Research Scientist,2,Married,2668,23549,1,Y,No,11,3,1,80,2,0,1,2,0,0,0,0
25,Yes,Travel_Frequently,878,Research & Development,11,3,Life Sciences,1,413,3,Female,85,2,1,Healthcare Representative,3,Single,2447,16385,4,Y,No,16,4,4,80,2,3,6,2,1,1,0,1
46,No,Travel_Frequently,843,Research & Development,26,4,Medical,1,414,3,Female,45,3,5,Research Director,3,Divorced,19999,6947,3,Y,Yes,14,3,1,80,0,22,3,2,0,0,0,0
40,Yes,Travel_Rarely,995,Sales,18,1,Marketing,1,415,1,Male,94,1,4,Sales Executive,4,Married,12625,5872,6,Y,Yes,11,3,2,80,0,19,0,1,4,3,2,2
35,No,Travel_Rarely,442,Research & Development,12,1,Other,1,416,2,Female,99,3,3,Laboratory Technician,3,Single,6074,20941,4,Y,No,15,3,1,80,1,13,6,2,9,5,4,6
42,Yes,Travel_Rarely,874,Research & Development,26,4,Life Sciences,1,417,3,Male,67,2,2,Healthcare Representative,1,Single,5893,19973,2,Y,Yes,16,3,4,80,0,18,2,4,1,0,1,0
38,No,Travel_Rarely,1006,Human Resources,1,3,Other,1,418,4,Male,52,2,3,Manager,2,Single,8939,6113,3,Y,No,16,3,3,80,2,18,1,1,0,0,0,0
46,No,Travel_Rarely,1184,Research & Development,2,5,Technical Degree,1,419,4,Male,67,1,2,Research Director,1,Married,5822,5797,2,Y,No,20,3,3,80,0,24,2,2,2,1,2,0
31,No,Travel_Rarely,155,Research & Development,18,1,Life Sciences,1,420,2,Male,80,2,2,Manager,3,Divorced,4886,9074,4,Y,No,20,3,2,80,0,9,2,1,6,3,0,6
49,No,Travel_Rarely,1054,Sales,1,4,Life Sciences,1,421,2,Female,53,4,3,Manager,3,Divorced,8647,11595,1,Y,Yes,18,3,3,80,1,28,2,1,6,6,1,5
44,No,Travel_Rarely,259,Sales,9,3,Other,1,422,4,Male,77,3,2,Sales Executive,3,Married,4938,13069,3,Y,No,12,4,4,80,0,22,1,1,7,6,3,2
42,Yes,Travel_Rarely,541,Research & Development,1,1,Life Sciences,1,423,4,Female,98,3,2,Research Director,4,Married,3953,13703,4,Y,Yes,16,3,4,80,0,23,3,3,6,1,0,2
32,Yes,Travel_Frequently,740,Research & Development,19,2,Medical,1,424,1,Female,39,2,1,Manufacturing Director,2,Single,2292,15127,2,Y,No,14,3,4,80,1,9,3,3,6,3,0,2
44,No,Travel_Rarely,1147,Research & Development,8,4,Other,1,425,4,Male,96,2,1,Research Scientist,2,Married,2542,14531,0,Y,No,18,4,1,80,1,24,5,3,2,0,2,0
32,Yes,Travel_Rarely,1387,Sales,7,3,Other,1,426,3,Male,75,3,1,Manager,4,Divorced,2415,8842,4,Y,No,12,3,4,80,2,10,4,3,0,0,0,0
39,No,Travel_Rarely,706,Sales,1,3,Medical,1,427,3,Female,53,3,3,Sales Representative,3,Single,7529,5147,2,Y,Yes,22,3,4,80,2,16,3,2,1,1,0,1
60,No,Non-Travel,1269,Research & Development,17,1,Other,1,428,4,Female,70,1,5,Healthcare Representative,4,Divorced,19999,2529,2,Y,No,11,3,3,80,1,39,5,1,18,8,1,7
26,No,Non-Travel,524,Research & Development,1,3,Other,1,429,4,Male,80,1,2,Healthcare Representative,2,Married,4696,6201,2,Y,Yes,23,3,1,80,3,3,6,2,3,1,3,0
35,No,Travel_Rarely,400,Sales,4,3,Life Sciences,1,430,3,Male,70,4,1,Sales Executive,1,Divorced,2407,19462,1,Y,Yes,13,3,3,80,0,10,2,3,5,1,3,1
36,No,Travel_Rarely,1347,Research & Development,15,2,Life Sciences,1,431,4,Female,95,3,1,Manufacturing Director,4,Married,2524,16280,3,Y,No,14,3,4,80,1,12,6,3,3,2,1,0
35,No,Travel_Frequently,278,Sales,10,3,Life Sciences,1,432,3,Male,46,3,2,Manager,2,Married,6067,10589,2,Y,No,20,3,4,80,1,16,2,3,1,0,0,1
44,No,Travel_Rarely,767,Research & Development,7,4,Medical,1,433,4,Male,85,2,3,Healthcare Representative,4,Married,9267,14684,2,Y,No,14,3,3,80,2,20,3,3,2,2,2,0
51,Yes,Travel_Rarely,1051,Sales,3,4,Technical Degree,1,434,3,Female,70,3,3,Sales Representative,1,Married,10132,11278,2,Y,No,11,3,4,80,0,27,3,3,1,1,0,1
28,No,Travel_Rarely,784,Research & Development,5,3,Other,1,435,1,Male,67,3,1,Laboratory Technician,1,Single,2897,22834,5,Y,No,17,4,1,80,0,4,4,4,2,0,1,2
29,Yes,Travel_Rarely,1176,Research & Development,10,1,Other,1,436,4,Male,39,3,2,Manager,3,Single,4539,24128,4,Y,Yes,18,4,1,80,0,6,2,3,3,3,0,1
30,No,Travel_Rarely,927,Research & Development,2,3,Medical,1,437,1,Male,67,3,2,Manufacturing Director,3,Married,5755,12736,2,Y,No,17,4,4,80,0,9,3,4,9,5,0,2
31,No,Travel_Frequently,1344,Research & Development,11,2,Other,1,438,2,Male,62,3,2,Research Director,3,Single,6364,24446,1,Y,No,14,3,1,80,0,10,1,4,3,2,3,0
40,No,Travel_Rarely,483,Sales,12,4,Medical,1,439,1,Female,89,3,4,Sales Executive,3,Divorced,13999,14062,2,Y,No,19,4,1,80,0,21,2,3,4,0,1,3
27,No,Non-Travel,629,Research & Development,1,3,Other,1,440,2,Male,52,3,1,Laboratory Technician,2,Divorced,2353,15444,6,Y,No,12,3,1,80,1,5,5,3,5,4,0,4
18,No,Travel_Frequently,814,Research & Development,5,4,Technical Degree,1,441,4,Male,66,2,3,Research Director,1,Married,8595,7455,2,Y,Yes,11,3,4,80,2,0,1,4,0,0,0,0
42,No,Travel_Rarely,302,Research & Development,7,3,Life Sciences,1,442,4,Female,56,3,3,Manufacturing Director,4,Married,6196,20506,5,Y,No,12,3,2,80,0,20,2,1,12,5,2,1
36,Yes,Travel_Rarely,104,Research & Development,10,2,Medical,1,443,1,Male,38,1,2,Laboratory Technician,2,Married,4742,20793,3,Y,Yes,11,4,4,80,1,12,2,4,1,1,0,1
21,No,Travel_Frequently,354,Research & Development,3,2,Other,1,444,3,Male,34,2,2,Healthcare Representative,3,Married,5471,12727,2,Y,Yes,18,3,4,80,1,0,5,2,0,0,0,0
34,Yes,Travel_Rarely,498,Research & Development,2,2,Medical,1,445,3,Male,31,2,1,Research Scientist,2,Single,2681,24152,5,Y,No,12,3,2,80,2,10,1,2,10,2,0,6
44,No,Travel_Frequently,836,Research & Development,15,4,Technical Degree,1,446,3,Female,47,3,3,Laboratory Technician,3,Married,9157,5944,4,Y,No,21,3,4,80,0,25,1,3,1,0,1,0
40,No,Travel_Rarely,1444,Research & Development,3,1,Technical Degree,1,447,1,Male,80,2,1,Manufacturing Director,4,Divorced,2240,20757,3,Y,No,11,3,3,80,0,17,3,3,2,0,0,0
30,No,Travel_Rarely,894,Research & Development,10,4,Medical,1,448,2,Male,68,2,3,Research Director,4,Divorced,6939,16658,2,Y,No,13,3,2,80,0,11,5,1,0,0,0,0
30,Yes,Travel_Rarely,318,Research & Development,1,4,Medical,1,449,3,Male,48,2,4,Research Scientist,4,Married,15699,11886,3,Y,Yes,11,3,4,80,0,10,6,3,1,0,1,1
50,No,Travel_Frequently,1473,Research & Development,16,4,Technical Degree,1,450,1,Female,56,1,3,Research Scientist,2,Single,7821,17998,0,Y,No,14,3,4,80,0,30,4,3,0,0,0,0
35,No,Travel_Rarely,215,Research & Development,29,2,Medical,1,451,1,Male,63,2,2,Healthcare Representative,3,Single,4805,12209,3,Y,No,11,3,2,80,3,13,1,3,4,2,4,2
42,No,Travel_Rarely,556,Sales,7,3,Marketing,1,452,4,Male,63,3,1,Sales Representative,1,Single,3431,11768,2,Y,No,20,4,1,80,2,18,4,2,2,0,0,2
29,No,Travel_Rarely,343,Research & Development,7,3,Technical Degree,1,453,3,Female,89,3,1,Manufacturing Director,3,Divorced,3779,5581,6,Y,No,16,4,4,80,1,7,3,4,2,0,1,2
50,No,Non-Travel,1299,Research & Development,4,4,Technical Degree,1,454,4,Male,68,3,3,Research Scientist,4,Married,8454,12346,2,Y,Yes,17,3,4,80,2,30,5,3,0,0,0,0
38,Yes,Travel_Rarely,1013,Research & Development,1,4,Medical,1,455,3,Male,69,3,2,Manager,1,Married,4119,11119,3,Y,Yes,12,3,3,80,0,14,3,3,5,1,3,1
27,No,Non-Travel,1484,Research & Development,1,1,Medical,1,456,3,Female,63,2,1,Research Director,2,Married,3075,13751,4,Y,Yes,14,3,4,80,0,5,1,3,5,3,2,5
30,No,Travel_Rarely,380,Research & Development,29,1,Life Sciences,1,457,2,Male,93,4,3,Manufacturing Director,4,Single,7726,4496,4,Y,No,16,3,4,80,0,7,6,3,7,1,3,4
31,No,Travel_Rarely,258,Sales,12,3,Marketing,1,458,4,Female,56,2,2,Sales Executive,2,Married,5478,21384,2,Y,No,11,3,4,80,1,9,4,3,2,2,2,0
59,Yes,Travel_Rarely,568,Sales,8,3,Medical,1,459,3,Female,51,2,3,Sales Executive,1,Single,7701,12327,0,Y,Yes,19,3,4,80,1,40,2,3,0,0,0,0
26,No,Travel_Rarely,1259,Research & Development,11,3,Technical Degree,1,460,2,Male,49,3,2,Research Director,2,Single,5743,6704,2,Y,No,12,3,3,80,1,5,2,3,5,4,3,0
40,No,Travel_Rarely,297,Sales,1,3,Technical Degree,1,461,1,Female,41,4,1,Sales Executive,4,Single,3270,18814,2,Y,No,17,3,3,80,1,21,4,3,8,8,3,8
36,No,Travel_Frequently,1485,Sales,15,1,Medical,1,462,1,Male,47,3,2,Sales Representative,2,Divorced,5126,13837,3,Y,No,12,3,3,80,0,14,6,1,2,1,2,2
29,No,Travel_Rarely,366,Sales,2,4,Medical,1,463,1,Male,67,3,1,Sales Representative,3,Married,3880,10013,3,Y,No,12,3,3,80,2,6,3,3,3,3,2,1
32,Yes,Travel_Rarely,1022,Sales,17,1,Technical Degree,1,464,3,Female,55,3,1,Manager,3,Divorced,2846,21569,3,Y,No,19,3,2,80,0,11,6,3,0,0,0,0
40,No,Non-Travel,855,Research & Development,2,1,Life Sciences,1,465,1,Female,85,2,2,Research Scientist,4,Single,3370,23074,1,Y,No,14,3,4,80,1,16,3,3,2,1,0,0
52,No,Travel_Frequently,664,Research & Development,10,3,Technical Degree,1,466,4,Male,63,3,3,Manufacturing Director,4,Married,9245,19944,4,Y,No,14,3,3,80,1,32,5,3,10,2,0,10
43,No,Travel_Rarely,1333,Research & Development,9,4,Other,1,467,3,Female,61,3,2,Healthcare Representative,1,Divorced,5743,3615,0,Y,No,17,3,4,80,0,25,5,4,9,6,3,1
51,No,Travel_Rarely,625,Sales,2,4,Medical,1,468,3,Female,49,3,2,Manager,4,Divorced,5177,14515,5,Y,No,14,3,2,80,1,30,5,3,13,2,1,12
22,No,Travel_Rarely,1460,Sales,19,4,Marketing,1,469,2,Male,83,3,2,Manager,1,Single,5424,17246,4,Y,No,13,3,4,80,1,0,5,2,0,0,0,0
32,Yes,Travel_Frequently,1124,Research & Development,1,3,Life Sciences,1,470,4,Male,86,1,1,Research Director,1,Married,3141,21600,1,Y,Yes,12,3,2,80,0,12,3,2,5,2,5,3
50,No,Travel_Rarely,1038,Research & Development,6,3,Other,1,471,3,Female,61,2,2,Healthcare Representative,1,Single,5903,24275,4,Y,No,15,3,4,80,0,29,1,3,4,4,3,0
28,No,Travel_Rarely,122,Research & Development,12,5,Technical Degree,1,472,3,Female,91,3,2,Manufacturing Director,4,Married,5014,10900,4,Y,Yes,18,4,4,80,1,5,4,3,5,2,0,4
34,Yes,Travel_Frequently,161,Sales,9,3,Marketing,1,473,1,Female,80,2,1,Sales Representative,4,Married,2591,25818,1,Y,Yes,12,3,4,80,1,10,4,3,1,0,1,1
52,No,Travel_Rarely,1407,Research & Development,3,4,Technical Degree,1,474,3,Female,85,3,3,Research Director,3,Married,6243,3480,3,Y,Yes,16,3,4,80,1,29,2,3,29,20,0,7
